"Parameter";"Mean";"SD";"Naive SE";"Time-series SE";"2.5%";"25%";"50%";"75%";"97.5%"
"Gamma1[23, 1]";0,514063411739351;0,0423889732889263;0,000244732851390335;0,000249936382014522;0,430275108932851;0,48531265074415;0,514312206380046;0,543000624909013;0,596446117965001
"Gamma1[24, 1]";0,357000705144284;0,0424536060640678;0,000245106008891599;0,000246121915549591;0,276185225127196;0,327750416391367;0,356254906958566;0,385173551663314;0,442070312975355
"Gamma1[1, 2]";0,490822377405939;0,0493995550323716;0,000285208463957875;0,000283229898834919;0,393082267170408;0,457637932312686;0,491284375367229;0,524119175941094;0,58634802772029
"Gamma1[2, 2]";0,534662567413449;0,0399010951944394;0,000230369080514705;0,000232669008028407;0,455570031829667;0,507745573198499;0,535022407739313;0,561616366867461;0,612533537706493
"Gamma1[3, 2]";0,383267049808061;0,0345614489431551;0,000199540618509141;0,000196120962982743;0,316854368105984;0,359697286332725;0,383125305449747;0,406443387882236;0,451494510072803
"Gamma1[4, 2]";0,339724994214601;0,0460537470411645;0,000265891432514073;0,000265899349369004;0,252989051689358;0,307822025245927;0,338789445136399;0,370531651335029;0,432359262662919
"Gamma1[5, 2]";0,536967126000767;0,0536408975812596;0,000309695866581134;0,000309839371788832;0,430299495278627;0,500757640154595;0,537616573533057;0,57383116962537;0,640593519843747
"Gamma1[6, 2]";0,421823193667263;0,0306376855384823;0,000176886759929899;0,000176499265184809;0,362892476107361;0,401022662450123;0,421483713645832;0,442583732034684;0,482289051141638
"Gamma1[7, 2]";0,342683877505063;0,0434570164561787;0,000250899201491528;0,000249681501762843;0,258973000386189;0,312879689271545;0,342014559152173;0,371743382015339;0,429469038707422
"Gamma1[8, 2]";0,480107806307254;0,0327500899110959;0,000189082732261556;0,000188878487915562;0,415149840205049;0,457953273587588;0,480263304305767;0,502296908265087;0,54411045008701
"Gamma1[9, 2]";0,498227394880146;0,0329665490619238;0,000190332459751547;0,0001910706299901;0,433026335634326;0,476040549463887;0,498520770301459;0,520373536091884;0,563091884929047
"Gamma1[10, 2]";0,483166438033649;0,0315602234693702;0,000182213035157256;0,000181684022106819;0,421682689809611;0,46177844383172;0,483273252661506;0,504526234693432;0,544833791968595
"Gamma1[11, 2]";0,4567946301369;0,0389671905922632;0,000224977179780066;0,0002232779153346;0,381449091826875;0,430503109089761;0,456510441734982;0,483116411904712;0,534004662615307
"Gamma1[12, 2]";0,400212323827259;0,0380383451570257;0,000219614488159367;0,000219143126099036;0,327264781083887;0,374026205956419;0,399632810839158;0,425979106867264;0,475499011286099
"Gamma1[13, 2]";0,43010147800669;0,0417322380441204;0,000240941188686584;0,000240094250990247;0,348608842502315;0,401837960502504;0,429711922626629;0,458206589695804;0,512841320089082
"Gamma1[14, 2]";0,40228271547784;0,0365377502686;0,000210950799531595;0,000210422693086922;0,331795801072018;0,377268524121674;0,402337035962203;0,426805879816635;0,474516402243572
"Gamma1[15, 2]";0,460166231582998;0,0374580869403364;0,000216264365783316;0,000219917636460142;0,387127821985859;0,434527009375226;0,459980572490503;0,48543931877467;0,533554790061011
"Gamma1[16, 2]";0,447251529997679;0,04371089278025;0,000252364957131962;0,000251903323351629;0,36217281359855;0,417664241489989;0,447117376609872;0,476691726907555;0,533689097178461
"Gamma1[17, 2]";0,420896012407883;0,0342374384682132;0,000197669943159861;0,000196499089013611;0,353737434058687;0,397731815593006;0,420510458824776;0,444090618268548;0,488419260125238
"Gamma1[18, 2]";0,437476460803454;0,0371953395437643;0,000214747392981918;0,000213422975057037;0,365656517800314;0,411985139440307;0,437501147717017;0,462523729125343;0,510245659192497
"Gamma1[19, 2]";0,429105979379012;0,0323966070331945;0,000187041897914454;0,000187054537647343;0,365971662493361;0,407158670604298;0,428834050169899;0,450645543232805;0,493164886890176
"Gamma1[20, 2]";0,448731306069053;0,0369214823865158;0,000213166277947349;0,000213166666266183;0,377538017872127;0,423398946112643;0,44877145749761;0,473527144375191;0,521694197276691
"Gamma1[21, 2]";0,462462536651115;0,0377122829796979;0,000217731967300839;0,000216907028888551;0,389127307649366;0,436814071719429;0,462605748392765;0,487961611973992;0,536125795338459
"Gamma1[22, 2]";0,539323086796615;0,0499806393192474;0,000288563355652371;0,000287269818858095;0,440422316372332;0,505520290940477;0,539805549707993;0,573295607142694;0,63693970234671
"Gamma1[23, 2]";0,485936588260649;0,0423889732889263;0,000244732851390335;0,000249936382014522;0,403553882034999;0,456999375090987;0,485687793619954;0,51468734925585;0,569724891067149
"Gamma1[24, 2]";0,642999294855716;0,0424536060640678;0,000245106008891599;0,000246121915549591;0,557929687024645;0,614826448336686;0,643745093041434;0,672249583608633;0,723814774872804
"Gamma1_F[1]";0,509177622594062;0,0493995550323716;0,000285208463957875;0,000283229898834919;0,41365197227971;0,475880824058906;0,508715624632771;0,542362067687314;0,606917732829592
"Gamma1_F[2]";0,465337432586552;0,0399010951944394;0,000230369080514705;0,000232669008028407;0,387466462293507;0,438383633132539;0,464977592260687;0,492254426801501;0,544429968170333
"Gamma1_F[3]";0,616732950191939;0,0345614489431551;0,000199540618509141;0,000196120962982743;0,548505489927197;0,593556612117764;0,616874694550253;0,640302713667275;0,683145631894016
"Gamma1_F[4]";0,660275005785399;0,0460537470411645;0,000265891432514073;0,000265899349369004;0,56764073733708;0,629468348664971;0,661210554863601;0,692177974754073;0,747010948310642
"Gamma1_F[5]";0,463032873999233;0,0536408975812596;0,000309695866581134;0,000309839371788832;0,359406480156253;0,42616883037463;0,462383426466943;0,499242359845404;0,569700504721373
"Gamma1_F[6]";0,578176806332737;0,0306376855384823;0,000176886759929899;0,000176499265184809;0,517710948858362;0,557416267965316;0,578516286354168;0,598977337549877;0,637107523892639
"Gamma1_F[7]";0,657316122494937;0,0434570164561787;0,000250899201491528;0,000249681501762843;0,570530961292578;0,628256617984661;0,657985440847827;0,687120310728455;0,741026999613811
"Gamma1_F[8]";0,519892193692746;0,0327500899110959;0,000189082732261556;0,000188878487915562;0,45588954991299;0,497703091734913;0,519736695694233;0,542046726412412;0,584850159794951
"Gamma1_F[9]";0,501772605119854;0,0329665490619238;0,000190332459751547;0,0001910706299901;0,436908115070953;0,479626463908116;0,501479229698541;0,523959450536113;0,566973664365674
"Gamma1_F[10]";0,516833561966351;0,0315602234693702;0,000182213035157256;0,000181684022106819;0,455166208031404;0,495473765306568;0,516726747338494;0,53822155616828;0,578317310190389
"Gamma1_F[11]";0,5432053698631;0,0389671905922632;0,000224977179780066;0,0002232779153346;0,465995337384693;0,516883588095288;0,543489558265018;0,569496890910239;0,618550908173125
"Gamma1_F[12]";0,599787676172741;0,0380383451570257;0,000219614488159367;0,000219143126099036;0,524500988713901;0,574020893132736;0,600367189160842;0,625973794043581;0,672735218916113
"Gamma1_F[13]";0,56989852199331;0,0417322380441204;0,000240941188686584;0,000240094250990247;0,487158679910918;0,541793410304196;0,570288077373371;0,598162039497496;0,651391157497685
"Gamma1_F[14]";0,59771728452216;0,0365377502686;0,000210950799531595;0,000210422693086922;0,525483597756428;0,573194120183365;0,597662964037797;0,622731475878326;0,668204198927982
"Gamma1_F[15]";0,539833768417002;0,0374580869403364;0,000216264365783316;0,000219917636460142;0,466445209938989;0,51456068122533;0,540019427509497;0,565472990624774;0,612872178014141
"Gamma1_F[16]";0,552748470002321;0,04371089278025;0,000252364957131962;0,000251903323351629;0,466310902821539;0,523308273092445;0,552882623390128;0,582335758510011;0,63782718640145
"Gamma1_F[17]";0,579103987592117;0,0342374384682132;0,000197669943159861;0,000196499089013611;0,511580739874762;0,555909381731452;0,579489541175224;0,602268184406994;0,646262565941313
"Gamma1_F[18]";0,562523539196546;0,0371953395437643;0,000214747392981918;0,000213422975057037;0,489754340807503;0,537476270874657;0,562498852282983;0,588014860559693;0,634343482199686
"Gamma1_F[19]";0,570894020620988;0,0323966070331945;0,000187041897914454;0,000187054537647343;0,506835113109824;0,549354456767195;0,571165949830101;0,592841329395702;0,634028337506639
"Gamma1_F[20]";0,551268693930947;0,0369214823865158;0,000213166277947349;0,000213166666266183;0,478305802723309;0,526472855624809;0,55122854250239;0,576601053887357;0,622461982127873
"Gamma1_F[21]";0,537537463348885;0,0377122829796979;0,000217731967300839;0,000216907028888551;0,463874204661541;0,512038388026008;0,537394251607235;0,563185928280571;0,610872692350634
"Gamma1_F[22]";0,460676913203385;0,0499806393192474;0,000288563355652371;0,000287269818858095;0,36306029765329;0,426704392857306;0,460194450292007;0,494479709059523;0,559577683627668
"Gamma1_F[23]";0,514063411739351;0,0423889732889263;0,000244732851390335;0,000249936382014522;0,430275108932851;0,48531265074415;0,514312206380046;0,543000624909013;0,596446117965001
"Gamma1_F[24]";0,357000705144284;0,0424536060640678;0,000245106008891599;0,000246121915549591;0,276185225127196;0,327750416391367;0,356254906958566;0,385173551663314;0,442070312975355
"Gamma3[1, 1]";0,469662660341503;0,0533955352683055;0,000308279266606803;0,000309451943663375;0,366725779654359;0,433295385018784;0,468990462131333;0,50548081318413;0,576275724081981
"Gamma3[2, 1]";0,363712364126803;0,045017113719687;0,000259906427242013;0,000259989650179824;0,276771966696594;0,333310187677081;0,363164487559588;0,393553917181853;0,452726416968671
"Gamma3[3, 1]";0,551559325413343;0,0433008536713464;0,000249997595232924;0,000248205542097125;0,46538025566178;0,52295037299388;0,55161792901943;0,581056453008548;0,635612612486705
"Gamma3[4, 1]";0,62071713629132;0,0517681121931188;0,000298883335101359;0,000295284675944266;0,515962487614724;0,586239890824711;0,621843373378158;0,656330358073625;0,718840290482969
"Gamma3[5, 1]";0,412448563340251;0,0581304002494486;0,000335616022321198;0,000337894708266588;0,301629903516524;0,372349428100615;0,411977066027289;0,451289299022315;0,528144842377326
"Gamma3[6, 1]";0,534425801380546;0,0355284638235642;0,000205123681524287;0,000204758428921131;0,463852464414584;0,510453233786742;0,534622065835701;0,558387081005165;0,60263886100641
"Gamma3[7, 1]";0,569661400969699;0,0538923440401404;0,00031114759338835;0,000309823558643907;0,463674930905471;0,533202229085585;0,570381600745448;0,60667928874798;0,673958066549352
"Gamma3[8, 1]";0,46545878943365;0,0365274164430337;0,000210891137161871;0,000210990543206397;0,394949901360541;0,440765273749394;0,465369192843238;0,489910916063852;0,537567197909494
"Gamma3[9, 1]";0,398412188970076;0,0383310616735391;0,000221304487755419;0,000221310920300609;0,324599059367952;0,372396925147086;0,397921305486593;0,423878865416711;0,474218028603873
"Gamma3[10, 1]";0,461567112606213;0,0349765172141785;0,000201937016289215;0,000201764617009386;0,39369870959422;0,437905182102012;0,46151371266174;0,48503802726176;0,529887371868707
