index;stage;cohort;sexe;age;migration;end1sum
532;Smolt;1997;F;1FW;NA;NA
533;Smolt;1997;NA;1FW;NA;NA
534;Smolt;1997;NA;Other;NA;NA
535;Smolt;1997;NA;Other;NA;NA
536;Smolt;1997;NA;Other;NA;NA
537;Smolt;1997;NA;Other;NA;NA
538;Smolt;1997;NA;Other;NA;NA
539;Smolt;1997;NA;Other;NA;NA
540;Smolt;1997;NA;Other;NA;NA
541;Smolt;1997;NA;Other;NA;NA
542;Smolt;1997;NA;Other;NA;NA
543;Smolt;1997;NA;Other;NA;NA
544;Smolt;1997;NA;Other;NA;NA
545;Smolt;1997;NA;Other;NA;NA
546;Smolt;1997;NA;Other;NA;NA
547;Smolt;1997;NA;Other;NA;NA
548;Smolt;1997;NA;Other;NA;NA
549;Smolt;1997;NA;Other;NA;NA
550;Smolt;1997;NA;Other;NA;NA
551;Smolt;1997;NA;Other;NA;NA
552;Smolt;1997;NA;1FW;NA;NA
553;Smolt;1997;NA;1FW;NA;NA
554;Smolt;1997;NA;1FW;NA;NA
555;Smolt;1997;NA;Other;NA;NA
556;Smolt;1997;NA;Other;NA;NA
557;Smolt;1997;NA;Other;NA;NA
558;Smolt;1997;NA;Other;NA;NA
559;Smolt;1997;NA;Other;NA;NA
560;Smolt;1997;NA;Other;NA;NA
561;Smolt;1997;NA;Other;NA;NA
562;Smolt;1997;NA;Other;NA;NA
563;Smolt;1997;NA;Other;NA;NA
564;Smolt;1997;NA;Other;NA;NA
565;Smolt;1997;NA;Other;NA;NA
566;Smolt;1997;F;1FW;0,82412111;NA
567;Smolt;1997;NA;1FW;NA;NA
568;Smolt;1997;NA;1FW;NA;NA
569;Smolt;1997;NA;1FW;NA;NA
570;Smolt;1997;NA;Other;NA;NA
571;Smolt;1997;NA;Other;NA;NA
572;Smolt;1997;NA;Other;NA;NA
573;Smolt;1997;NA;Other;NA;NA
574;Smolt;1997;NA;Other;NA;NA
575;Smolt;1997;NA;Other;NA;NA
576;Smolt;1997;NA;Other;NA;NA
577;Smolt;1997;NA;Other;NA;NA
578;Smolt;1997;NA;Other;NA;NA
579;Smolt;1997;NA;Other;NA;NA
580;Smolt;1997;NA;1FW;NA;NA
581;Smolt;1997;NA;1FW;NA;NA
582;Smolt;1997;NA;1FW;NA;NA
583;Smolt;1997;NA;1FW;NA;NA
584;Smolt;1997;NA;2FW;NA;NA
585;Smolt;1997;NA;Other;NA;NA
586;Smolt;1997;NA;Other;NA;NA
587;Smolt;1997;NA;Other;NA;NA
588;Smolt;1997;NA;Other;NA;NA
589;Smolt;1997;NA;Other;NA;NA
590;Smolt;1997;NA;Other;NA;NA
591;Smolt;1997;NA;Other;NA;NA
592;Smolt;1997;NA;Other;NA;NA
593;Smolt;1997;NA;Other;NA;NA
594;Smolt;1997;NA;Other;NA;NA
595;Smolt;1997;NA;Other;NA;NA
596;Smolt;1997;NA;Other;NA;NA
597;Smolt;1997;NA;Other;NA;NA
598;Smolt;1997;NA;Other;NA;NA
599;Smolt;1997;NA;Other;NA;NA
600;Smolt;1997;NA;Other;NA;NA
601;Smolt;1997;NA;Other;NA;NA
602;Smolt;1997;NA;Other;NA;NA
603;Smolt;1997;NA;Other;NA;NA
604;Smolt;1997;NA;Other;NA;NA
605;Smolt;1997;NA;Other;NA;NA
606;Smolt;1997;NA;Other;NA;NA
607;Smolt;1997;NA;Other;NA;NA
608;Smolt;1997;NA;Other;NA;NA
609;Smolt;1997;NA;Other;NA;NA
610;Smolt;1997;NA;Other;NA;NA
611;Smolt;1997;NA;Other;NA;NA
612;Smolt;1997;NA;1FW;NA;NA
613;Smolt;1997;NA;1FW;NA;NA
614;Smolt;1997;NA;Other;NA;NA
